ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
1.83938617729	0.0	perProject_driver	[151,163]:14,[172,183]:13,[193,196]:6,[213,216]:6,[220,224]:4,[234,237]:5,[242,250]:17,[262,287]:24,[298,298]:3,[305,306]:3,[337,337]:2	TP53	RFC	152	146.0	True	0.006999999999999999	0.03292920288	ENSG00000141510	0.0	LUSC_TCGA	2	RF	LUSC	139.0	143	0.31282742735999997
	0.000113706849275	perProject_driver		MLL2	RF	45	42.0	True	0.0115		ENSG00000167548	0.00752442245168	LUSC_TCGA	1	R	LUSC	36.0	38	
1.63950904938	0.000266818685561	perProject_driver	[538,547]:13,[1045,1047]:3	PIK3CA	RFC	29	28.0	True	0.9990000000000001	0.0505536437889	ENSG00000121879	0.013042725158899999	LUSC_TCGA	1	R	LUSC	26.0	27	0.32017307733000006
2.68844652728	0.0	perProject_driver	[26,34]:17,[77,81]:8	NFE2L2	RF	27	27.0	True	0.985	0.0035892665967899996	ENSG00000116044	0.0	LUSC_TCGA	2	RF	LUSC	26.0	26	0.068196065339
-0.623928824277	1.99840144433e-15	perProject_driver	[163,166]:5	CDKN2A	RFC	26	26.0	True	0.0315	0.733662835261	ENSG00000147889	8.30335800117e-13	LUSC_TCGA	2	RF	LUSC	26.0	26	0.973529734199
0.161538461538	1.27242660852e-12	perProject_driver	[155,155]:2,[470,470]:2,[480,480]:2	KEAP1	RF	23	23.0		0.9385	0.43583466059500003	ENSG00000079999	4.2295460467300006e-10	LUSC_TCGA	2	RF	LUSC	21.0	21	0.973529734199
	1.28952462222e-05	perProject_driver		NF1	RF	23	20.0	True	0.0		ENSG00000196712	0.0016486076324	LUSC_TCGA	1	F	LUSC	19.0	22	
	3.30658380676e-08	perProject_driver		FN1	F	22	19.0		0.10400000000000001		ENSG00000115414	6.86942785855e-06	LUSC_TCGA	1	F	LUSC	17.0	19	
	1.1026270608e-05	perProject_driver		NOTCH1	F	20	18.0	True	0.0575		ENSG00000148400	0.0016486076324	LUSC_TCGA	1	F	LUSC	14.0	16	
-0.543583596036	0.0	perProject_driver	[245,247]:3	PTEN	RFC	16	16.0	True	0.01	0.706635974721	ENSG00000171862	0.0	LUSC_TCGA	2	RF	LUSC	14.0	14	0.973529734199
