ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
1.3358063251999999	0.0	perProject_driver	[104,111]:5,[127,132]:6,[146,166]:10,[168,183]:8,[192,196]:4,[205,224]:8,[232,241]:6,[241,259]:15,[272,286]:21	TP53	RFC	129	128.0	True	0.006999999999999999	0.0908062925129	ENSG00000141510	0.0	LUAD_TCGA	2	RF	LUAD	120.0	120	0.8853613520010001
5.34284963139	0.0	perProject_driver	[12,13]:56,[61,61]:3	KRAS	RFC	61	60.0	True	0.9995	4.57483305667e-08	ENSG00000133703	0.0	LUAD_TCGA	3	RFC	LUAD	60.0	61	1.7841848921e-06
	2.34741270866e-09	perProject_driver		MLL3	RF	51	47.0	True	0.018000000000000002		ENSG00000055609	4.35810769797e-07	LUAD_TCGA	1	F	LUAD	42.0	45	
-1.24117647059	4.57294085855e-05	perProject_driver	[1882,1882]:2	NF1	RF	44	33.0	True	0.0	0.892729717524	ENSG00000196712	0.00259221137514	LUAD_TCGA	1	F	LUAD	27.0	36	0.954835535622
-0.49251922978	0.0	perProject_driver	[139,145]:5,[415,417]:4,[470,470]:2	KEAP1	RF	40	40.0		0.9385	0.688823834386	ENSG00000079999	0.0	LUAD_TCGA	2	RF	LUAD	40.0	40	0.954835535622
	1.95550237556e-05	perProject_driver		SVEP1	F	37	33.0		0.7		ENSG00000165124	0.0013780540270099998	LUAD_TCGA	1	F	LUAD	29.0	31	
-1.5763532763499999	6.924301132469999e-10	perProject_driver	[4072,4072]:2	FAT1	RF	35	32.0		0.01	0.9425277950409999	ENSG00000083857	1.6590625513399998e-07	LUAD_TCGA	1	F	LUAD	30.0	31	0.954835535622
-1.37692307692	0.0242859042687	perProject_driver	[668,668]:2	KDR		29	26.0	True	0.8465	0.9157319842	ENSG00000128052	0.211974004434	LUAD_TCGA	1	R	LUAD	23.0	24	0.954835535622
	0.0437491515323	perProject_driver		LPHN2	F	29	23.0		0.7335		ENSG00000117114	0.29694891521600003	LUAD_TCGA	1	R	LUAD	21.0	26	
	6.737012780980001e-08	perProject_driver		SETD2	RF	24	21.0	True	0.0		ENSG00000181555	9.49522507248e-06	LUAD_TCGA	1	F	LUAD	18.0	19	
	3.89187258032e-06	perProject_driver		MGA	F	22	19.0		0.032		ENSG00000174197	0.00034536765564599996	LUAD_TCGA	2	RF	LUAD	17.0	19	
0.32531666983699997	0.0	perProject_driver	[176,181]:3,[251,251]:2	STK11	RF	21	21.0	True	0.0025	0.372470707869	ENSG00000118046	0.0	LUAD_TCGA	2	RF	LUAD	20.0	20	0.954835535622
	3.33066907388e-16	perProject_driver		SMARCA4	F	20	18.0	True	0.2845		ENSG00000127616	1.5960566202e-13	LUAD_TCGA	2	RF	LUAD	17.0	18	
