query,_id,_score,name,summary,symbol
ENSG00000149451,80332,21.004221,ADAM metallopeptidase domain 33,"This gene encodes a member of the ADAM (a disintegrin and metalloprotease domain) family. Members of this family are membrane-anchored proteins structurally related to snake venom disintegrins, and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. This protein is a type I transmembrane protein implicated in asthma and bronchial hyperresponsiveness. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2013].",ADAM33
ENSG00000175832,2118,19.618103,ETS variant 4,,ETV4
ENSG00000062038,1001,18.990389,cadherin 3,"This gene encodes a classical cadherin of the cadherin superfamily. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate the mature glycoprotein. This calcium-dependent cell-cell adhesion protein is comprised of five extracellular cadherin repeats, a transmembrane region and a highly conserved cytoplasmic tail. This gene is located in a gene cluster in a region on the long arm of chromosome 16 that is involved in loss of heterozygosity events in breast and prostate cancer. In addition, aberrant expression of this protein is observed in cervical adenocarcinomas. Mutations in this gene are associated with hypotrichosis with juvenile macular dystrophy and ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome (EEMS). [provided by RefSeq, Nov 2015].",CDH3
ENSG00000143536,49860,20.919754,cornulin,"This gene encodes a member of the 'fused gene' family of proteins, which contain N-terminus EF-hand domains and multiple tandem peptide repeats. The encoded protein contains two EF-hand Ca2+ binding domains in its N-terminus and two glutamine- and threonine-rich 60 amino acid repeats in its C-terminus. This gene, also known as squamous epithelial heat shock protein 53, may play a role in the mucosal/epithelial immune response and epidermal differentiation. [provided by RefSeq, Jan 2009].",CRNN
ENSG00000257524,ENSG00000257524,20.994858,,,AL157935.2
ENSG00000123500,1300,19.60205,collagen type X alpha 1 chain,"This gene encodes the alpha chain of type X collagen, a short chain collagen expressed by hypertrophic chondrocytes during endochondral ossification. Unlike type VIII collagen, the other short chain collagen, type X collagen is a homotrimer. Mutations in this gene are associated with Schmid type metaphyseal chondrodysplasia (SMCD) and Japanese type spondylometaphyseal dysplasia (SMD). [provided by RefSeq, Jul 2008].",COL10A1
ENSG00000281406,ENSG00000281406,20.154495,bladder cancer associated transcript 1,,BLACAT1
ENSG00000234602,345643,20.913952,multiciliate differentiation and DNA synthesis associated cell cycle protein,"This gene encodes a member of the geminin family of proteins. The encoded nuclear protein is required for the generation of multiciliated cells in respiratory epithelium. Mutations in this gene cause a rare mucociliary clearance disorder associated with recurring respiratory infections in human patients, known as reduced generation of multiple motile cilia (RGMC). [provided by RefSeq, Sep 2016].",MCIDAS
ENSG00000165376,9075,20.13297,claudin 2,"This gene product belongs to the claudin protein family whose members have been identified as major integral membrane proteins localized exclusively at tight junctions. Claudins are expressed in an organ-specific manner and regulate tissue-specific physiologic properties of tight junctions. This protein is expressed in the intestine. Alternatively spliced transcript variants with different 5' untranslated region have been found for this gene.[provided by RefSeq, Jan 2010].",CLDN2
ENSG00000122641,3624,20.219328,inhibin subunit beta A,"This gene encodes a member of the TGF-beta (transforming growth factor-beta) superfamily of proteins. The encoded preproprotein is proteolytically processed to generate a subunit of the dimeric activin and inhibin protein complexes. These complexes activate and inhibit, respectively, follicle stimulating hormone secretion from the pituitary gland. The encoded protein also plays a role in eye, tooth and testis development. Elevated expression of this gene may be associated with cancer cachexia in human patients. [provided by RefSeq, Aug 2016].",INHBA
